Id	norm.dF4Ur1	norm.dF4Ur2	norm.dF4Ur3	norm.dF4Mr1	norm.dF4Mr2	norm.dF4Mr3	norm.dF4M40r1	norm.dF4M40r2	norm.dF4M40r3
Txnrd1	558	504	685	1857	1239	1587	2146	1478	1696
Txnrd3	112	107	65	324	239	198	386	242	296
Uap1l1	370	169	96	650	483	410	430	282	161
Uba7	1852	1066	1860	374	402	799	384	378	459
Ube2a	206	152	156	220	238	279	271	177	367
Ube2cbp	44	41	30	84	73	83	115	146	77
Ube2e3	153	165	170	195	222	289	348	227	525
Ubiad1	336	168	141	361	271	239	403	131	226
Uck2	523	392	354	1099	834	692	1424	984	1144
Umps	197	213	165	389	371	274	462	288	401
Ung	135	85	83	283	153	150	356	298	193
Uqcc2	149	46	20	149	111	63	226	141	101
Uqcrq	558	153	135	494	316	232	644	343	280
Urb1	487	679	514	1247	1176	923	1472	1201	1213
Urb2	294	454	317	849	924	629	979	863	901
Usf3	1284	1834	2332	1029	1185	1480	862	777	1274
Usp31	337	570	528	946	1060	1015	1046	1044	1291
Utf1	19	2	5	58	20	18	88	35	40
Utp18	360	397	333	748	651	666	895	822	875
Utp20	743	1509	1267	3108	3249	2870	3661	3344	4073
Utp4	302	335	331	706	704	660	917	741	1070
Utrn	796	1205	1252	386	626	584	168	217	265
Vac14	1182	747	709	1521	1246	1168	1708	928	1234
Vamp1	819	909	846	395	484	378	283	383	227
Vat1	543	144	112	764	391	351	514	288	181
Vav3	260	459	396	519	683	538	237	313	193
Vegfa	72	56	71	235	220	322	297	388	454
Vegfb	182	59	61	292	176	202	356	187	197
Vim	3269	1647	1864	629	657	880	731	358	686
Vmn2r96	5	36	22	9	24	17	8	25	17
Vmp1	332	400	342	656	836	807	763	520	918
Vpreb3	396	181	145	15	26	15	4	5	10
Vsir	305	137	202	385	326	244	310	267	169
Vwa1	1	0	0	1	2	4	5	5	4
Wdr13	209	254	255	163	183	132	138	106	96
Wdr19	67	49	96	37	43	49	24	45	26
Wdr34	98	40	20	86	58	35	89	192	40
